!      0.698175917     -9.73819364       2.8856208               0 00000
!     -0.697992921      9.73709938     -2.88479683               0 00000
 ---------------------------------------------------------------------
      0.278938857   -0.0515481864    0.0353250361     0.667153399 10000
      -1.42257082    0.0899753971    -0.034049998    -0.265706749 01000
    0.00462741411    -0.741986788      0.30541225  -0.00128007291 00100
    -0.0509228095      1.28721746     -1.93500393   -0.0894340584 00010
     -0.601967615    0.0915157529   -0.0875996595     -1.95819072 20000
       3.62237321    -0.584313894     0.592561922      14.5254699 11000
      -2.62945067     -1.50957458  -0.00369001369     -14.7683128 02000
    -0.0328668077       3.8697515    -0.774819253     -0.67421213 10100
      0.221404609     -1.94594712     0.670235718       1.6860641 01100
   -0.00540465224     0.013034328    0.0326225708     -1.06471281 00200
     -0.207376929     -41.7386108      8.18826868     -0.38616236 10010
       1.07048882      24.3528015     -5.74924189      2.63422556 01010
      0.354430773     0.336779622    -0.785590121      1.82692667 00110
      -1.78571368      2.32383211      1.46363844      2.16863555 00020
       3.18580372    -0.790887918     0.193430993      6.95241266 30000
      -28.7836204      6.25826577     -2.62048703     -71.1762972 21000
        73.426155     -9.07695458      6.31247787      218.345425 12000
      -43.8134758     -9.05195167     -2.80899972     -149.452012 03000
      0.308863431     -23.7079943      3.99436399    -0.131920908 20100
      -2.71635454      162.356626     -26.8011391      31.2372059 11100
       1.82656679     -232.289642      34.0269155     -101.143387 02100
      0.440341063      1.93126639    -0.973695213      10.8913494 10200
      -2.82362441     -3.21672493      1.32958725    -0.267031569 01200
     -0.263074771      6.32558628    -0.652107634    -0.170683087 00300
      -2.95873728      258.325492     -45.8441554     -16.8303129 20010
       20.1237113     -1710.90117      319.140483     -67.3108236 11010
      -15.1117571      2647.68757     -512.995255      322.020556 02010
      -8.04061395      9.88780262      4.06241506     -182.352086 10110
       46.1511378     -71.7072031      7.09239373      240.872342 01110
        3.9409978     -27.7805317       13.838418     -5.74748554 00210
       71.8784304     -43.3401267     -24.6724316      460.460434 10020
      -338.197118      365.513431     -62.6446475      -1535.5001 01020
      -20.0196073     -193.034652     -45.0195238      3.60570705 00120
       39.3558673      1368.85126     -66.3320592      60.5709952 00030
      -13.1887521     -3.96897496     0.694899644     -14.2826759 40000
       136.127512       49.564559     -9.23162295      186.845598 31000
      -443.510296      -164.20456      31.9815224     -800.174844 22000
       336.705437      188.080019     -85.4868426      1214.13639 13000
       252.142956      281.009883     -3.14768171     -234.780373 04000
      -5.13672882      52.0899316     -15.4903386      15.1818966 30100
       46.7124222     -439.313447      113.254448     -283.774899 21100
      -113.753099      665.138491     -195.408057      1247.01195 12100
       17.3670444       874.68725     -36.8210585     -1071.09369 03100
       -5.0314046     -5.13774622     -7.63338735     -28.4648732 20200
       43.2081456      29.8288826      25.7442046      76.3825835 11200
      -68.5019322      -2.8389645      -64.522901     -33.7632646 02200
       6.14519316     -7.16402615      3.44266796      19.6121472 10300
        -16.27197     -152.327607     -2.11249429      -68.174109 01300
     -0.147517261     -4.74380268    -0.761899551     -12.3156414 00400
       1.70053853     -608.077983       117.53501      116.743681 30010
      -12.5104104      5413.28351     -965.928556     -377.730634 21010
      -52.5418762     -9482.14524      1241.93499      450.226463 12010
       256.785325     -5341.21325      1832.99876     -4506.44417 03010
       19.7554953      14.5789364      125.819252      383.575703 20110
      -141.632849      287.575091     -265.876686      402.183396 11110
       80.7733065     -2040.43274      871.905115      559.259523 02110
       -83.415779      428.142126     -51.9833392     -250.265865 10210
       186.597296      429.653445      36.5610437      1218.11896 01210
      -15.8453784      46.3784669     -28.8105162      129.262735 00310
      -26.7280307     -17.2121565     -549.494471     -2128.65479 20020
       199.911975      2335.68217     -356.970857     -3113.60264 11020
       76.4867425      863.914997      97.6525566     -639.860161 02020
       304.767646     -1149.61557       675.45376      584.175154 10120
      -855.620311      1590.46861     -317.608169     -3393.68669 01120
       26.7421728      521.135898      89.8850376     -560.255043 00220
      -1.12817958      196.380161     -2704.17707     -383.167868 10030
      -318.186833      622.684012     -722.145637     -500.540224 01030
       150.589465     -2361.01534     -44.2896076      708.682182 00130
       80.8075382     -986.890762     -48.1257825      249.999843 00040
        23.754508       43.081825     -6.12909828      -7.2356411 50000
      -225.319906     -474.500743      110.331756      60.9384923 41000
       680.997536      1726.75346     -487.055393     -165.368284 32000
      -371.931737     -1687.89846      444.695703      126.346427 23000
      -666.049878     -1013.15435      500.888749      254.189956 14000
      -475.717895     -152.004605      280.226026      397.459782 05000
       4.87754896     -35.7483778       46.171366     -83.9714915 40100
      -8.03351825      191.338645     -258.436318      1280.47511 31100
       82.9856747      328.851028      367.800239     -5435.80599 22100
       59.3554585     -2149.74143      254.355522      3917.91024 13100
       67.0315309      -2262.2248      106.059344      4721.51784 04100
      0.626795252     -85.2295189      28.6353811      160.669472 30200
      -32.7923656     -337.556686      186.716922     -1470.35849 21200
        284.71629     -771.897828      6.38160309      3803.97338 12200
      -483.917048      4417.71723     -628.397453     -5268.00971 03200
      0.571276004     -76.4345782      -5.1472798      23.5887834 20300
      -76.5083128     -748.273945      184.351826     -679.870127 11300
       288.841029      1241.37053     -207.583018      2194.89905 02300
       14.5028492      78.5200448      46.8363707     -71.5784841 10400
      -68.9682662     -86.7605406     -121.432268      456.689968 01400
      -1.94684286       56.352445     -17.9703478     -9.67856063 00500
       28.6072694     -240.409429      -146.46268      -436.00193 40010
      -63.6354728      4.90317866      261.763147      1890.14889 31010
      -739.807569      2955.21094      366.630613      2360.88545 22010
       -447.12324      1854.83778      256.758635       1623.2691 13010
      -179.135116      728.255756      132.560351      840.602295 04010
      -77.0537165      1269.02092      -702.81705     -943.482821 30110
       204.273137      -783.93956      161.048355      4746.99874 21110
       73.8004884     -392.073281     -133.643852      609.992834 12110
      -47.2675324      218.028727     -187.947519     -730.839786 03110
       21.2253854      777.159549     -213.216851      598.998199 20210
      -243.871808      726.417458     -546.040934     -859.465574 11210
       82.5697972      968.247498     -121.183175     -921.214445 02210
      -277.625039     -607.848613     -398.920838      464.747594 10310
       836.937106      894.437229      677.917553     -2816.79138 01310
      -69.7097372      425.682467     -144.903757      183.468825 00410
       16.3258678      204.150955      1607.78056      1792.78178 30020
       119.711282     -207.079904      220.968376      515.524135 21020
       41.5983487     -113.578563     -23.3952062     -108.469253 12020
       3.43886636      7.69804394     -37.9161991     -215.896274 03020
       52.7359272      609.241648      606.040922     -721.124351 20120
      -22.9126181      239.353009     -9.29971753     -817.171968 11120
        23.261651      250.294674     -20.2346333     -406.643721 02120
       96.4620162       1715.7054      133.435873     -614.081888 10220
       158.368878      451.280616      217.690057     -269.113197 01220
       223.052188     -4251.01931      1269.75825     -562.173653 00320
       51.5682038     -52.8281637     -163.538633     -402.195562 20030
       14.8589786      8.74472606     -43.4864469     -150.006508 11030
       9.56795185      37.1323117     -13.4654611     -55.0578267 02030
        14.220636      373.492006      99.7159704     -16.5448678 10130
       21.2621743      89.1832299      61.4615229     -10.4322299 01130
        56.243163     -1183.07698      361.296227     -182.735064 00230
      -1.01507827      92.5486588      22.3153819      6.33640721 10040
       2.05455212      20.4213494       12.279205       2.5860752 01040
       12.7119932     -284.265601      90.7064715     -33.0662278 00140
       2.94836822     -63.4738607       21.348482     -5.71215558 00050
      -6.70947818     -28.4319098     -1.31768178               0 60000
     -0.648118637      61.6537162     -42.5494137               0 51000
       158.285416      239.799795      240.187778               0 42000
      -20.0716892     -1457.14154      330.686351               0 33000
      -81.2731554     -1151.23946      191.908742               0 24000
      -62.9844473     -547.846393      77.9847924               0 15000
      -34.3845705     -204.801017      25.6713592               0 06000
       30.2773243     -12.9376676     -55.1150656               0 50100
      -341.849194     -143.639946      272.898418               0 41100
       457.929795     -94.9824821     -277.305864               0 32100
       334.887886     -15.4607002     -244.756356               0 23100
       155.771201     -11.6819245     -115.278695               0 14100
       61.7655424      -10.850599     -41.1021467               0 05100
        44.405484       55.232192      3.88849855               0 40200
      -406.736493      2348.79138      -768.25179               0 31200
       525.127648     -3577.34077      628.874638               0 22200
       366.111148      -2405.4633      505.790364               0 13200
       142.983015     -947.542747      218.781857               0 04200
      -46.2989258      584.408326     -58.8358279               0 30300
       272.092085      747.901471     -49.6752383               0 21300
      -524.092437      1865.61793     -635.926398               0 12300
      -367.344389      1043.59595     -435.344699               0 03300
      -6.54137906     -89.0034553      -57.074887               0 20400
      -61.9041492      247.505356     -4.40159262               0 11400
       603.672745      -670.12705      409.091512               0 02400
      -12.5228817     -377.424827      152.738148               0 10500
        128.94319      87.0026011      109.816418               0 01500
       2.22445635     -88.7894914      53.3372861               0 00600
      -132.345716      1387.31933      215.784786               0 50010
       886.663136     -5816.20096       148.19368               0 41010
       273.780569     -1877.33836      35.0999343               0 32010
       64.3615135     -380.483722      10.5850258               0 23010
       14.5087638     -45.0466053      6.82805702               0 14010
       3.78433872      5.43407567       5.4425246               0 05010
        178.18196     -2480.35189      846.860551               0 40110
       52.7204204     -73.6777449      446.135208               0 31110
       78.4016599     -363.352606       217.69268               0 22110
       47.9480618     -279.508316      89.0704677               0 13110
        21.070038     -139.902882      31.8866066               0 04110
       356.594262     -5970.94354      443.995959               0 30210
      -58.9736923     -1381.52041      21.1718395               0 21210
      -95.4197038      -189.40692      -51.891116               0 12210
      -50.5214941      47.0000413     -36.1566559               0 03210
      -323.837644      433.886725     -119.673564               0 20310
       95.9655287      463.286283      30.2854742               0 11310
       112.098562      150.575437      52.6558185               0 02310
      -364.019004      1950.92754     -1347.10668               0 10410
      -112.378246      46.8007246     -284.751962               0 01410
      -4.16119672      913.217465     -261.217879               0 00510
      -20.6121415      214.429561      693.862012               0 40020
       11.5232163      95.9217093      146.190141               0 31020
       12.5023669     -15.3643235      42.1940263               0 22020
       7.32188495     -25.5769738      14.2848758               0 13020
       3.33507425     -14.9482188      4.94011851               0 04020
      -14.3153372      -802.41531       177.69048               0 30120
      -23.3409926     -217.902911       29.508729               0 21120
      -13.5013448     -56.7806253    0.0143821768               0 12120
      -6.27763414       -6.617418     -3.28833459               0 03120
       6.49751267      281.603717     -35.8809518               0 20220
        13.946146      136.160849     -15.9106945               0 11220
       11.9365518      50.4655645     0.369374256               0 02220
      -64.2820458      57.3556827     -204.215512               0 10320
      -12.3019527     -55.6473402     -27.3110974               0 01320
      -22.7571007      421.880926     -88.4071412               0 00420
      -9.36104204     -139.899523     -36.5443519               0 30030
      -4.32225492     -37.2651548     -4.86682598               0 21030
